Seat Type,Route,Type of Traveller,Date flown,Reccomend,Comfort rating,Comment
Business Class,London to Tel Aviv,Solo Leisure,November 2017,1.0,,"✅ Trip Verified |  London to Tel Aviv. Arrived at Heathrow at about 5pm expecting it to be very busy, but check and security felt like it was 10pm, very easy and quick process (which included regular rather than fast track security as we didn’t follow the signs properly). We used galleries south lounge and first impressions were actually pretty poor, although they did later improve. The food offering on arrival was a few sandwiches, soup and some dry cake. This wasn’t really acceptable at all although about an hour after we arrived the evening meals were laid out and there was a good selection of hot and cold dishes which were quite tasty. Drinks overall were good as always with British Airways although champagne is only served on request and the quality of the one provided was really quite appalling. In terms of seating, there was enough for all the passengers in there, and it was quite busy, and due to it being broken up into different areas it felt like a nice place, although better variety in seating, including some more comfortable chairs, would be appreciated as well as a bit of modernising. This biggest failing was the staff in the lounge, which were more similar to staff in a factory canteen than what you find in competitors lounges. Smiles are free and go a long way, and whilst being unobtrusive can be a good quality, eerily walking around slightly like a zombie, seruptitiously clearing your table without any interaction whatsoever was just plain odd! The other area which I find completely below standard are the toilets. Whilst they are kept clean and there are some nice touches with flowers etc, the general standard of the toilet decor was more like a cheap gym locker room. The regular Heathrow airport toilets are far far nicer and to a higher quality. Whilst the individual toilet cubicles with self contained wash areas are nice, there aren’t really enough and some regular wash room facilities and urinals as well would make it easier. On board me and my friend had the centre two seats at the very back of the cabin. This meant that we basically had our own private suite as well as direct aisle access. These seats are fantastic when travelling with someone and as good as any business offering from any airline in terms of comfort, privacy and access. Unfortunately this was an ancient 777 with the old ife, which is a completely unacceptable product in terms of resolution, selection and even the fact that some screens won’t even stay in place and fold themselves away! British Airways need to have an active plan to refurbish or replace all of these aircraft, end of story! Even the Thales system is showing its age now, but this Rockwell Collins one makes vhs tapes look state of the art! The cabin crew were slightly mixed in terms of level of service and experience. Some were clearly not in sync with each other when serving drinks and meals etc, and some were rather abrupt and unfriendly. Others however were absolutely wonderful and made the whole flight a wonderful experience. Food and drinks on board were actually quite good, although the on board service was not the new club world one on this route yet. Overall it was a very enjoyable flight, and as I booked using Avios and a companion voucher it was exceptional value for money. Having said that, I would have still considered it good value even if paying cash."
Economy Class,Kuala Lumpur to Madrid via London,Family Leisure,November 2017,1.0,,"✅ Trip Verified |  Kuala Lumpur to Madrid via London. My first time flying BA and I had very low expectations. Fortunately, my experience was pleasant as the seats were generally comfortable and overall service was good. The service (KUL-LHR) was brusque. Meal was served not long after take off and my child was already sleeping as it was past midnight. I had asked if we could have it later but the reply was a curt NO and that they couldn't give it to us later nor would they have any snacks to offer. So if we got hungry we would just have to wait more than 8 hours later for the next meal. Luckily on the return route we had a very courteous cabin crew who spoke politely. Both aircrafts appeared new and the seats were wide enough for us. Some people complained about the entertainment unit under the seats. What I didn't like though is that the arm rest couldn't be kept up totally between the 2 seats so that my child could lie across his seat and mine. The armrest kind of went up to a max of 80 degree angle. The seat pockets were very small so there's very little that can kept inside. The toilets were generally clean but the toilet seat lids didn't work properly. They always fall back down and there was never seat liners. Food was below average."
Economy Class,Madrid to London Heathrow,Solo Leisure,November 2017,0.0,,❎ Not Verified |  Madrid to London Heathrow on a busy Monday evening in November was an entirely mixed affair. Boarding was from the satellite terminal which was efficient and well managed. Boarding was rather slow as too many people were allowed to bring aboard large amounts of luggage. This resulted in some bags being removed and placed into the hold. Some passengers were poorly behaved and argued with the staff. Every single seat was occupied. This was quite hard on the staff. A trendy safety instruction took place with a video of certain UK based TV personalities. This was in English only. The inflight service was very poor. I ordered a sandwich and a drink and had my receipt chucked at me. Disembarkation was slow again due to the large amount of luggage. I regard this as a health and safety matter. British Airways is not what it was and on this route there are alternatives offering better service.
Economy Class,Bologna to London Heathrow,Couple Leisure,October 2017,0.0,,❎ Not Verified |  Flew British Airways from Bologna to London Heathrow. We arrived at Bologna Airport to be told at the bag check in that the plane had been overbooked and that we would have to wait until boarding closed before we would know if there was a seat for us. We were both amazed and surprised since we had booked this return flight several weeks earlier and had arrived at the airport in good time. The member of staff dealing with us was particularly brusque and unhelpful and the only information that we were given was a typed sheet setting out the fact that if we did not travel we would be able to claim compensation. For us this was not acceptable since we had to be in the Lake District the following day. We were eventually allowed onto the plane but would not have made it if it had not been for a fellow passenger who seemed to know how to get around the queues in this situation. I thought that these problems were only found on the well known cut price airlines!
Economy Class,Baltimore to Rome via London,Couple Leisure,November 2017,0.0,,"❎ Not Verified |  My husband and I booked our honeymoon to Italy through American Airlines which unknowingly routed us to their partner airlines, British Airways. We ran immediately into trouble when we received an email notice that our flights have been changed and we now had a 40 minute layover at London Heathrow and we would not arrive in Rome in the AM as planned. We decided to give it a shot regardless. We arrived at BWI and discovered we were not on an AA flight and had packed more bags than BA would allow. (We had three checked bags instead of 2 and British Airways only allows one checked bag or you pay close to $100 for additional). Luckily the gentlemen at the counter checked the bag at no charge. I can't say the same for the rest of our trip. We found that the flight was full and they had not placed our seats together for a 6.5 hr flight and we had 2 middle seats. The neighbors on our flight refused to swap seats, originally then after some pity complaining a lovely woman swapped. We arrived into London around 9am. late of course, and after running to the next terminal in an attempt to make our connection, we missed our flight and were unable to make it through security. The BA representative told us the next flight was full and we would have to wait until 5pm. We again explained that we were on our honeymoon and had afternoon ticket reservations in Rome. The BA representative was then able to find two seats on a 12pm flight - so we missed our ticket reservations but were able to get into Rome for dinner. Upon our return flights, we attempted three times to reserve seats online via British Airways app and web (learning from before) and the website kept giving us an error screen even though the charge was pending on my PayPal account. We eventually had to make an international call and pay $174 to ensure we were able to sit next to each other on the 8 hr flight home, though we could not select seats for our connecting flight to London. Once we arrived at Rome to check - we got hit with the $100 additional baggage fee (we we tried to explain, the representative refused to comp the bag). Upon arriving at the gate my ticket was pinged for having an extra bag that was not paid for. Luckily, we had the receipt from paying 2 hrs earlier. Otherwise I imagine we would've had to shell out $100 again. We are crossing our fingers for a safe trip home, as we are again delayed on our flight from Rome to London. If you fly British Airways prepare to be nickled and dimed at every part of your journey. "
Business Class,London Heathrow to Johannesburg,Couple Leisure,November 2017,1.0,,"✅ Verified Review |  Flew British Airways from London Heathrow to Johannesburg. Plane at T5 Satellite C, so used B Galleries Lounge, which was quiet and pleasant. Efficient boarding, seats 50J/K on upper deck, which provided good privacy despite proximity to toilets. Mixed crew FAs and ours were young and enthusiastic. In-flight service good, with a notable improvement in the quality of food, i.e., courses delivered individually to seats and main courses not cooked to a crisp. IFE lagging behind that offered by competitors, with small screens and limited movies. Breakfast included four hot options which were more palatable than usual. Overall, a good flight, although we look forward to promised improvements in 2018."
Economy Class,London Heathrow to Brussels,Solo Leisure,November 2017,0.0,,"✅ Verified Review | London Heathrow to Brussels. I had to travel for a surgery that had to be done in Belgium. Going there the staff at check-in in were amazing, as I had missed my plane she did everything possible for me to be on the next flight at a good price. However coming back to London the staff were quite rude and not acknowledging. I got on the plane and asked if I could have help to place my hand luggage into the locker as I could not carry anything nor lift my hand due to my operation. The first staff member at the entrance told me that I had to ask a member of staff closer to my seat, if no one could help then he will try to come. So that’s what I did, but the member of staff refused as she told me that she wasn’t allowed to carry a bag unless I help her and even after explaining the situation, she just ignored it and just left me alone with my suitcase. Luckily another passenger heard me and carried my bag to the top and helped my get it down at the end. I work in retail and I know about customer service but very disappointed with my expirience coming back especially on the plane. I am very angry by this situation and next time I will think twice before choosing the company again."
Premium Economy,London to San Francisco,Solo Leisure,October 2017,0.0,,"✅ Verified Review |  
Flew London to San Francisco. British Airways provided a functional, disinterested service on this ten hour flight. We were given what was necessary and certainly no more. Ignored for five hours, not even a glass of water offered and it was made clear that the staff were happy to do the bare minimum and no more. If you have to go with British Airways, do, but if you can avoid them then I would. In the interest of fairness I have informed the customer service team at British Airways of my experience - so far I have been ignored hence writing this review."
Business Class,London Heathrow to Seoul Incheon,Solo Leisure,January 2017,0.0,,"✅ Verified Review |  London Heathrow to Seoul Incheon. I was flying my return leg back to Korea after a Christmas vacation. I had not had a pleasant experience on my initial leg and unfortunately had no better experience on the return. To start with, i was unable to pre order my meal on line due to a technical fault. Having not had my selection available on the outbound leg (in business class!) i wanted to ensure i had something for my return. I couldn't pre book and of course when offered the meal by the cabin crew they had AGAIN run out of 50% of the available selections. Quite disgraceful. I was also unable to check in on line, so i was ""directed"" by staff to use the kiosk at the airport which also did not work. Eventually i made it passed the staff and was allowed to queue for the business class check in. The rest of the airport process after that was smooth. This time i sat at the rear of the business class cabin in the window seat. This meant that I did not have to step over somebody else feet and legs if I wanted to get out of my chair in flight. Of course I had to pay extra $'s for the seat selection in business class - a point which i have made before about being very unhappy about in a premium cabin. The flight was uneventful. On this occasion I had a very warm crew for which I appreciated. Overall I still feel that BA is just too cheap on it's product and this is not an acceptable practice especially in a premium class. Frankly, even though they were the cheaper ticket price by the time I had paid extra for the seat and not had my meal choices available i would have been better off flying another carrier."
Business Class,Seoul Incheon to London Heathrow,Solo Leisure,December 2016,0.0,,"✅ Verified Review |  Seoul Incheon to London Heathrow. This was my first flight on BA for many years. As a Brit, I was actually looking forward to flying them in order to return home for Christmas on board the relatively new B787. I was disappointed. The fare I paid on this occasion was relatively good value for a J class cabin - in my view. However, it was extremely disappointing to see that you have to pay to select your seat in J class. I do not know of and have not ever flown another airline which charges you for this and I certainly do not appreciate it. I was seated in row 1 by the window. My first experience in this cabin was a shock when I realised I was looking straight into the face of the passenger sitting next to me. And further that i had to step over the legs of the passenger in row 2 to get into and out from my seat. The tray table did not sit straight when pulled out for service. Even in row 1, by the time the cabin crew came to take my meal order they were already telling me that two of the available options had already run out. This left me taking a Korean option on a flight on BA where the majority of the passengers seemed to be non-Korean. Clearly something wrong with the meal ratios. They offer a serve yourself snack bar in flight. I went to the galley at one point and there was very little available to take food wise - it was mostly just drinks. It also seemed to be a fixed meal time - something else i do not appreciate in business class these days when dine on demand is a far better option for passengers. The IFE selection was nothing more than average. I found the overall selection somewhat limited compared to other carriers. The service and product simply left me feeling that BA is way behind other carriers and I concluded that i would not make a point of flying with them again on a long haul route in a premium cabin."
Economy Class,Cape Town to London,Business,November 2017,0.0,,"✅ Verified Review |  Flew Cape Town to London with British Airways. It’s hard to think of a good thing about this flight. On the outward journey I was in an aisle seat. Next to me was somebody who was too large to comfortably be able to occupy a middle seat. The crew could have helped the poor person out by offering an aisle but they made no attempt. So three people suffered cramped conditions for 11 hours. The food is awful, poor quality and with poor selection of wines - cheap Spanish wine with no choice, the cabin was over heated. It was the most uncomfortable flight I have ever taken. Until my return flight - entertainment system was not working - ancient plane same miserable food. This airline used to be good, now it is awful."
Business Class,London Heathrow to Bahrain,Solo Leisure,November 2017,0.0,,"✅ Verified Review |  London to Bahrain club world and they certainly like to pack folk into a business class cabin in a 2-4-2 configuration which is out of date and hardly worthy of business class cabin compared to the likes of Qatar, Emirates, Etihad which are far more superior. The plane was old along with a tired cabin and dirty unkempt bathroom basins that had permanent staining which need replacing. On this flight good choice of foods with attentive staff. Cost cutting was in evidence in the amenity bag you get, the presentation of food trays and the personnel service had gone. It's more akin to economy, also a real negative point is your at Heathrows newest terminal & guess what you are transported to your aircraft by buses! A shining example of what is supposed to be a modern airport. This flight is definitely not 5 star and a 3 star rating is where this airline should sit. Plane was delayed 45 mins & arrived 25 mins late so not exactly a good timekeeping record either. IFE was poor with old films that they call new releases, no where near on a par with Qatar Airways."
Business Class,London to Philadelphia,Family Leisure,October 2017,1.0,,"✅ Verified Review |  London to Philadelphia. Ticket booked was an AMEX companion ticket so effectively family of 4 travelled for £2.5k in business class return so very good value. Positives - B747 on both journeys was refurbished so very clean and great IFE. Cabin quiet and crew amazingly helpful. T5 Lounge fine, flight on time. Bags off very quickly. Negatives - food on on both legs wasn't great. Salad poor and main beef meal very average. Pudding which is normally the show stopper - not great. In previous years food been excellent. Return journey just the same - except for the crew this time being outstandingly helpful. We were travelling with a baby and a toddler and the crew couldn't do enough to help. The real test of the crew was on landing at LHR, we were walking up the jetty and my 3 year old daughter was sick all over me. We were stood on the jetty trying to sort the situation and all the crew after a long flight came to help us. They were amazing. They didn't have to as they were done for the day. BA are getting so much stick at the moment - their hard product is fine if you are redeeming a companion ticket but not if you are paying in excess of £15k. The crew lift this product to a much higher level."
Business Class,London to Edinburgh,Business,November 2017,0.0,,"✅ Verified Review |  British Airways short haul Business Class is nothing more than an economy class seat and maximum 31 inch pitch, with lounge access and a meal thrown in. So is it worth paying three times the cost of an economy ticket? BA recently introduced Business Class on domestic routes and as I got a decent price for booking well in advance, decided to try it out. Checking in was efficient, and the Galleries Club Lounge adequate (no comparison whatsoever with Asian or Middle Eastern Airline lounges). Priority boarding although announced, did not make any difference as economy and business class passengers were in the same queue and confused. Having maneuvered into the cramped seat, I was offered a hot towel as soon as I sat down. I couldn't decide whether to be amused or embarrassed by the new celebrity cast safety video. It was more spot the stars, than listen to the safety instructions. But I guess it was something different BA was trying out. The service on board was surprisingly efficient and swift. Soon after take off, a tasty snack and bar service with premium brands was offered on this one hour flight. The service was good, considering a one hour flight. Despite a Boeing 767, 2x2x2 layout, the cabin felt claustrophobic. To me, this was no different than economy seating, with virtually no leg room. How can this be branded as Business Class? Is the extra cost justified to fly Club Europe? Absolutely not."
Economy Class,Oakland to Gatwick,Family Leisure,October 2017,0.0,,"✅ Verified Review |  I requested Asian vegetarian food both ways including my return flight from Oakland to Gatwick on the 6th November, but I was very disappointed that my requirement was not fulfilled.  I was told that on my connection flight I have to pick up my luggage and then check it again at Phoenix airport for connection flight which I never heard before as normally all the airlines do the checking luggage transfer themselves and passengers just have to do security checks and board the flight. When I reached Phoenix first security took long time to clear then luggage took time to come then I had to go on the different level to check in, then down to go through security again to board my flight. On my return flight from Oakland to Gatwick when I went to the check in luggage I was told by the staff at the desk that TSA will break my lock to check through my luggage, so please keep it unlocked.  I requested Asian vegetarian food but when I got my special meal it was cholesterol fat free diet. When I mentioned this to the staff who gave me this food she said that’s what you asked for but I said sorry I didn’t as on the food label clearly says 18A and my seat no is 18K so how is this my food. She still didn’t believe me instead of apology she said I have to get back on this matter to provide you food as we might not have spare food to offer you. After 15 mins of wait once she serving all the passengers she came to me and told me that if you want I can offer you full English breakfast I said but I am vegetarian she said I don’t have any other option. "
Economy Class,Düsseldorf to London,Business,August 2017,0.0,,"✅ Verified Review |  Am continually disappointed by British Airways. It seems they are now in a race with Ryanair and easyJet to become the worst carrier in and out of the UK. Flew Düsseldorf to London. Their lounge at DUS is closed but their check-in staff doesn't know that (she sent me up there). I have a connexion at JFK and I showed her the boarding passes but she wouldn't interline my bag to their partner AA and I had to recheck it. Now, not only do they not serve a second meal on the 11-hour flight LHR-LAX, but now they want £2 for a can of coca cola that they pay 15p for. Usually, you should always fly across the ocean on a European carrier, but with BOAC I recommend Finnair or American with their One World alliance. What is the point?"
Business Class,London to Santiago,Couple Leisure,November 2017,1.0,,"✅ Verified Review |  London to Santiago. Cabin crew generally helpful and friendly. Cabin a bit grubby; crumbs, nuts and grime in evidence. On the flight home as I took my seat I saw a bit of the wrapper of the ear plugs they give out which seemed to have been left over from the previous flight - evidence that whoever wields the vacuum cleaner before the passengers board needs to be a bit more thorough. The alcoholic drinks were all pleasant. The food was of variable quality (as was the coffee) none bad, some a bit mediocre, some good. Many have commented on the somewhat odd seat arrangement and I found it a bit of a palaver to have to carefully step over another, sleeping, passenger's legs trying not to wake them up. The other problem with that configuration is the video screen has to be stowed at take off and landing which means you can't watch it, as you can in economy when the screen is on the back of the seat in front of you. On both flights I found that my screen seemed to be broken and would not lock in position so that I would have to look at it at an angle. I solved the problem by stuffing a rolled up magazine in the hinge bit, but then I had to take it out every time I got out of my seat. Another problem with the configuration is that the storage space is minimal; apart from the overhead lockers there is only a small drawer. And that adds to the litter problem. After you have taken off the polythene wrappers for your headphones and blanket or the paper ring around your napkin, what do you do with it? Er, drop it on the floor? I did manage to sleep quite well, though the pillow you are provided with is very thin. On the flight back they gave me another one when I asked. Another small problem is that there is no individual air conditioning vent for your seat and if you take off your jacket, sweater or whatever, the lack of storage space means it has to go in the overhead locker if you have already filled up the little drawer. And I don't want to seem a bit picky, but although the in-flight entertainment has a good choice of films, the menu system for seeing what they are is a bit irritating; they are all divided into categories such as ""comedy"", ""thrillers"" etc but no A-Z. All in all, it wasn't an unpleasant experience but I would advise BA, if they were interested in my advice, that they need to clean the planes more often and more thoroughly and re-think the seat configuration."
Business Class,London to New York JFK,Business,November 2017,0.0,,"✅ Verified Review |  London to New York JFK in club world. After reading very mixed reviews here, I also saw that BA were upgrading standards on flights to NYC in particular and was looking forward to my flight. Should not have been so optimistic, as this is still a business class that belongs in the 1980's. Aircraft was tatty to be polite about it, worn carpets, seat with various malfunctioning or broken items, washrooms grimy from the word go. Staff tried hard to offer a modicum of good service, but the so called food improvements were really not much better than other premium economy cabins I have flown when I have to pay for the ticket. BA talk a lot about their premium standards, but even when you pay to-dollar for business class the standards are well below even their US counterparts. Complete rip-off sums it up."
Business Class,Johannesburg to Victoria Falls,Couple Leisure,October 2017,0.0,,"✅ Verified Review |  My wife and I booked two round trip business class air tickets from Johannesburg to Victoria Falls with British Airways / Comair. It turned out that our business class seats were not any different from the seats in the economy class: they had exactly the same width and pitch! Actually, British Airways simply separated several seats in the front from the rest of the aircraft cabin with a curtain, and called this a business class! Moreover, our pre-flight accommodations were not any better than those of the economy class passengers because British Airways does not even have a lodge for business class passengers in Victoria Falls. Yes, during the flight we were served sparkling wine and snacks, but does this difference substantiate my paying for two round trip tickets $1,372 rather than $703, which would have been the cost of the economy class tickets?"
Business Class,London to Mumbai,Couple Leisure,October 2017,0.0,,"✅ Verified Review |  London to Mumbai. The electrics at my seat were not working. This may have been related but the remote control that was completely broken with loose  wires etc. - The call button light kept coming on and off on its own. It was impossible for me to control this and at the time that I did actually want to contact the flight attendant, I had to use my husband's remote control to do so. - Because the connection was loose on my remote, it meant that things were changing on my TV screen without me being able to control it e.g. I would press play on the screen, then the program would pause or start rewinding without me doing anything. Because my remote controller was broken, it would not return properly into the socket and kept 'pinging' back out. This was  annoying when you are trying to relax in your seat. The TV screen was  faulty. The usual 'push and release' button did not work, I had to push the button and then just try to 'pull' the screen, it was very tough. Even the cabin crew could not release it properly. My footrest was very stiff and hard to manoeuvre on my own - my husband had to help every time I wanted to move this. My husbands footrest was  broken - The charging socket at my seat did not work, so I could not charge my phone or laptop for the entire flight. My husbands charging socket also did not work. the flight attendant told me that this was an issue on some of the other seats in our row. This is not related to my seat however the storage unit above my seat/row kept opening throughout the flight. The attendant would shut it and then it would  open, this happened during take off and landing, as well as throughout the flight.  For this level of airline and Club World seat, it is not acceptable that you should have to rely on your personal equipment.  This return flight was the first time that I have flown business class. We have spent tens of thousands of pounds on our American Express card to earn the points required and to generate the companion voucher, for us to be able to fly business class for our honeymoon. Whilst the outbound flight was great, I was very disappointed with the return flight and shocked by the poor quality of the seat. The hostess tried to reset my screen which made no difference and in fact, the situation got worse. Once I had tried to turn on the screen and once it the hostess had attempted a re-set; after that, the screen just kept flicking on and off for the remaining 3.5 hrs of the flight. As you can imagine, it is very annoying to have a screen flick on and off with no way of controlling it. It was impossible to turn the screen off completely."
Business Class,London to Johannesburg,Family Leisure,October 2017,0.0,,"✅ Verified Review |  I travelled to Johannesburg from London Heathrow on Sunday 22nd October on flight BA55 and my husband was meant to travel with my two daughters on the same flight on 23rd October. They were refused boarding on the grounds that children cannot travel with a single parent to South Africa. There was no such requirement on booking the tickets via BA's website and there was no notification of this by the airline at any stage. The requirement is not even on the front page of the embassy's website but well hidden under drop down menus. Usually when there are requirements like for ESTA for entry into US, BA sends a prompt. However, there was nothing in this case. BA had on its system that I (the other parent) had travelled BA already reach Johannesburg a day before. The BA counter staff at the airport refused to help my husband, who was travelling with a 4 and 7 year old with any alternative. Instead they directed to use the website to cancel tickets. After being given the wrong email address first, when finally managed to get in touch with customer relations, they refused to refund the ticket cost, only refunded taxes 25% of total. The overall service and the way it was dealt was extremely stressful at the airport and off-putting. They said they would use the complain to improve their processes but will not refund in excess of GBP 2k in tickets as they were cancelled prior to the flights upon refused boarding even the return flights and not within 24hrs of booking. Other airlines offer alternatives but here the attitude was extremely dismissive, even though both my husband and I are frequent travellers and have Silver cards of their Executive program. I will avoid travelling BA even for work after this event. Have received better treatment from low cost airlines in the past."
Economy Class,Heathrow to Lyon,Business,November 2017,0.0,,"✅ Verified Review |  Heathrow to Lyon. The worst customer service I have ever experienced! I arrived at the airport a good 2 hours before the flight only to be told that the flight is overbooked and that I could not check in. After a long wait to ascertain if anyone will not be turning up, I was told I can go on a different flight - the problem being that the only available flight was the one going out the following morning. So I missed a whole day's business meeting and was forced to do the round trip home and back to the airport in a matter of one day. When I queried the fact that I was unable to board I was told that overselling the flight was normal - ""all airlines do it"". The fact that all of them do it of course is not a justification nor explanation. I was casually advised to read the small print in the future. On the way back from my destination, in order to avoid the same thing happening, I decided to check in online 24 hours before. However, I was again denied a check in and was put on a stand by. Apparently, the return flight is overbooked again! I do not understand how it is possible that the product/service that I have purchased, I can not use. How can it be legal that the company has no responsibility to honour their contractual obligation to provide me the service that I have duly purchased a good 4 months in advance!!!! The disregard for its customers and the sheer arrogance of this huge, inept company is beyond pale! On top of that, the company's decision to no longer serve coffee/tea and food on board is unacceptable. The BA has made a foolish decision to behave like a budget airline but still keep charging premium prices. I certainly will never travel the BA ever again!"
Economy Class,London to New York,Couple Leisure,November 2017,0.0,,"✅ Verified Review |  Absolutely appalling service from BA! I booked seats with extra leg room with a BA representative to ensure I was getting the seats we needed. On arrival at the aircraft we did not have those seats, our return flight was the same. So I applied for a refund, after a lot of back and forth with BA they started paying it back, in drips and drabs, not the full amount - so far I have received half of the amount owed! I traveled 6 months ago - I have called a dozen times, emailed and filled out forms and the last I heard was that someone would contact me and would sort this matter out - no one has called back in 2 months now. When I call they say “you can’t chase anymore, You have to await for someone to call you” BA you are a disgrace, I have been patient and you have done nothing! Worst airline I have ever had to deal with!"
Economy Class,Kingston to London Gatwick,Solo Leisure,November 2017,0.0,,"✅ Verified Review |  Kingston to London Gatwick. It was my first time flying with British Airways and to be very honest, it is my last time ever flying with them. I had a horrid experience going to my destination as well as coming back from my destination. "
Economy Class,Heathrow to Barcelona,Couple Leisure,November 2017,0.0,,"✅ Verified Review |  Heathrow to Barcelona. Reliable. No longer feels like travelling with a premium airline. Very functional, but unfortunately at a cost. Flight took off late, because luggage for a passenger needed to be off loaded, however arrived on time in Barcelona. Excellent information from the flight deck. Cabin crew robotic and lacked personality. Enough has already been said about charges for food and drink. Overall falling well below the standards of the competition. Great pity really."
Business Class,Singapore to London,Business,October 2017,0.0,,"✅ Verified Review |  Singapore to London. My feedback seems to mirror many other users here - BA standards are just getting worse and worse, and I am talking about business class which I thought they would maintain? The cabin interior was worn and quite grubby, the seats terrible and now must be one of the poorest for long haul business class. The meal and presentation is really a joke, and on my previous long haul biz trip I got better food in Lufthansa premium economy. Cabin staff were quite friendly although they do hide in the galley a lot. Chatted to one of them who said so many customers are complaining and even deserting BA because of the fall in standards - I'm not surprised and I for one would not use them again for long haul. Time for senior management changes, as the present CEO clearly has no clue how to run what was once a premium airline. Now, they do little more than a low-cost and easyjet for one is far superior and nicer for short hops in Europe."
Business Class,London to Rome,Couple Leisure,October 2017,1.0,,"✅ Verified Review | British Airways appear to be taking positive steps to lift their game. The service on this flight was flight was materially better than that previously experienced. The quality of the food served had lifted materially. The staff were helpful. The big downside is that Club Europe sets remains stock standard economy seats - with the middle seat blocked off. The pitch is tight - too tight in my view. Another couple of centimetres would be welcome. Overall, a better BA experience."
Premium Economy,Heathrow to Dubai,Solo Leisure,September 2017,0.0,,"✅ Verified Review |  Heathrow to Dubai. This is a warning of what to expect from British Airways . If they continue to treat passengers this way I can see the airline very quickly getting into difficulty. The reply I got from the airline below just brushed all the issues I raised under the carpet. Living in Egypt for 10 years I became I frequent flyer with Egyptair. If I wanted to change the date of travel with them they only charged me £60. BA want to charge me over £500 and because I wanted to cancel my flight and go with a better airline they were only prepared to give me a £9.50 refund even though I would have given them over 2 months notice. This airline is on my black list, makes me ashamed to think this is my national airline, but never again will I book another flight with BA. There was no priority seat booking unless I paid another £38 extra. There was no priority boarding. I booked seat 23D but this was mysteriously changed at check in to 24E. BA emailed me to confirm a change in the booking but did not say what that change was. I did not make any changes. In premium economy I was wedged in like a sardine in a seat that is only 1"" wider than economy with a few inches extra leg room. Is this some kind of joke? I had to double check that I wasn't in economy as there is only one seat difference in a row. The tough chicken meal was diabolical. The cabin light over the bulkhead luggage bins was jammed on and would not go out so no sleep whatsoever. I really do not see the necessity for this light anyhow as the non smoking lights and tv screen light give emit sufficient light anyway. I ended up paying £300 extra for nothing and am extremely disappointed with this flight. A few days previously I flew premium Economy with Virgin Atlantic return from Barbados and the difference between BA and Virgin is worlds apart."
Economy Class,Tokyo Haneda to Heathrow,Solo Leisure,October 2017,0.0,,"✅ Verified Review |  Flew British Airways from Tokyo Haneda to London Heathrow. This is one of the worst flights I have ever had. The seats were so weak that I felt every movement of the passangers around me, especially the guy in front. Really old entertainment system and my friend next to me was missing the audio outlet! Food was also horrible."
Business Class,London to Toronto,Business,October 2017,0.0,,"✅ Verified Review |  London to Toronto. By now it is nothing new anymore that the CEOs very aggressive cost cutting, affected all classes including First & Business which called “Club World” does not deserve it name, because it is simply appalling! Again it is on the cost of the customer and eventually on the aircrews who have to work harder, because there are smaller teams.  It is not surprising that BA current ranking bounced back to 40th from 26th (in 2016). Fact is that this airlines which prefers rather to invest its money in flashy nonsense commercial rather than in its products does clearly not deserve to be recommended. Once a grand airline, today just another 2 star airline like there are so many."
First Class,New York JFK to London,Business,October 2017,0.0,,"✅ Verified Review |  New York to London Heathrow.  First class check in at T7 in JFK was quick, polite staff provide better service than those at Heathrow. The Concorde Room is just a few metres after security.  It is nice enough with a good range of seating and dining booths, but washroom / shower facilities are downmarket. Selected a couple of a la carte menu choices and these were nicely presented and tasty. Boarding was reasonably efficient,  and staff onboard offered usual boarding drinks, pyjamas etc. Delay of about 30 mins on departure was made up during the flight. I opted to sleep straight after take off,  seat comfort is okay if a little narrow.  90 minutes before arrival I had some fruits and pastry for breakfast,  accompanied by some good coffee. While I only needed minimal service onboard,  the staff were courteous and efficient,  and they are one of very few good things left after BA after their CEO seems to have decided to alienate loyal customers of 40 years!  Arrival into T5 at Heathrow,  B satellite at 0515 was absolute bedlam, and a reason I would choose another airline on this route. We wanted for 4 satellite trains to pass by totally full before we could even get to the main Terminal -  to find Immigration in total,  disorganised chaos. I buy and pay for my own tickets,  and do feel that BA is now grossly overpriced forge standards they provide. Please get a CEO that values quality over bean-counting."
Economy Class,Gatwick to Marrakech,Couple Leisure,October 2017,0.0,,"✅ Verified Review |  Gatwick to Marrakech, the cabin crew was lazy and rude, refusing to sell a pack of sweets which would have not taken more than 30 seconds . For the duration of half of the flight they sat in the back having a break during which all service stopped. Half way through the flight we ordered some sweets from the food menu. The lady that passed said that they will come back once they had finished serving some other customers. After 30 minutes we pressed the bell for assistance and one of the staff came to rudely explain that they hadn’t finished serving other customers even though none of the 3 staff members was seen serving anyone. We waited 20 minutes before pressing the bell again which was ignored. After another 10 Minutes my partner went to the back of the cabin to order the pack of sweets but the cabin crew explained that they are having a break now and that they stopped serving. We tried for over 1 hour to buy some Jaffa cakes which would have taken less than 30 seconds but it was too much to ask for. Ryanair or EasyJet Service is luxury compared to the service of this cabin crew. I will not use BA again if I can avoid it and cannot recommend this airline ."
